Year,Team,Player,ast,stl,blk,3p%,3pA,2p%,2pA,MP,WS
1971,Milwaukee Bucks,Kareem Abdul-Jabbar,3.3,None,None,None,None,.577,22.5,40.1,22.3
1971,Milwaukee Bucks,Oscar Robertson,8.2,None,None,None,None,.496,14.7,39.4,12.4
1971,Milwaukee Bucks,Bob Dandridge,3.5,None,None,None,None,.509,14.8,36.2,9.5
1971,Milwaukee Bucks,Jon McGlocklin,3.7,None,None,None,None,.535,13.1,35.3,8.9
1971,Milwaukee Bucks,Greg Smith,2.8,None,None,None,None,.512,9.7,29.6,6.8
1971,Utah Stars,Zelmo Beaty,1.9,None,None,.500,0.1,.555,15.6,38.4,16.0
1971,Utah Stars,Red Robbins,2.2,None,None,.250,0.5,.446,10.5,36.5,6.9
1971,Utah Stars,Glen Combs,3.9,None,None,.383,1.8,.464,13.7,36.3,5.3
1971,Utah Stars,Donnie Freeman,4.9,None,None,.000,0.2,.483,17.7,33.4,3.5
1971,Utah Stars,Willie Wise,2.5,None,None,.294,0.2,.466,12.7,32.6,7.5
1970,New York Knicks,Walt Frazier,8.2,None,None,None,None,.518,15.0,39.5,15.0
1970,New York Knicks,Willis Reed,2.0,None,None,None,None,.507,17.1,38.1,14.6
1970,New York Knicks,Dick Barnett,3.6,None,None,None,None,.475,12.7,33.8,6.8
1970,New York Knicks,Dave DeBusschere,2.5,None,None,None,None,.451,13.7,33.3,6.6
1970,New York Knicks,Bill Bradley,4.0,None,None,None,None,.460,13.4,31.3,4.9
1970,Indiana Pacers,Roger Brown,4.7,None,None,.333,1.4,.513,15.8,41.6,13.3
1970,Indiana Pacers,Bob Netolicky,1.5,None,None,.286,0.1,.484,16.9,39.3,8.2
1970,Indiana Pacers,Mel Daniels,1.6,None,None,.000,0.0,.474,15.6,36.6,8.6
1970,Indiana Pacers,Freddie Lewis,3.6,None,None,.266,2.2,.452,11.0,35.5,6.0
1970,Indiana Pacers,John Barnhill,4.1,None,None,.261,3.5,.460,7.2,30.8,2.5
1969,Boston Celtics,Bill Russell,4.9,None,None,None,None,.433,8.4,42.7,10.9
1969,Boston Celtics,John Havlicek,5.4,None,None,None,None,.405,20.8,38.7,7.3
1969,Boston Celtics,Larry Siegfried,4.7,None,None,None,None,.380,13.1,32.4,5.6
